STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
39,1,770100,4864,38.958826,-83.3928
39,1,770200,4815,38.96763,-83.567042
39,1,770300,6964,38.843374,-83.583598
39,1,770400,4948,38.789082,-83.543439
39,1,770500,3442,38.777742,-83.361675
39,1,770600,3517,38.694562,-83.603323
39,3,10100,4405,40.893747,-83.895778
39,3,10200,4110,40.854775,-84.011008
39,3,10300,1676,40.819949,-84.169317
39,3,10600,5138,40.718463,-84.31909
39,3,10800,7994,40.762942,-84.193548
39,3,10900,4515,40.742547,-84.155753
39,3,11000,5445,40.772949,-84.132776
39,3,11200,4218,40.773345,-84.096671
39,3,11300,7559,40.763044,-84.049682
39,3,11400,3056,40.769096,-83.948537
39,3,11500,2783,40.691371,-83.945233
39,3,11600,2693,40.69552,-84.04909
39,3,11800,2346,40.719884,-84.152426
39,3,11900,3208,40.679511,-84.137929
39,3,12000,2410,40.705762,-84.168491
39,3,12100,3455,40.692108,-84.185405
39,3,12200,3291,40.764972,-84.117126
39,3,12300,4052,40.752252,-84.115569
39,3,12400,2710,40.757022,-84.105132
39,3,12600,1834,40.73731,-84.083187
39,3,12700,1648,40.734239,-84.095093
39,3,12900,1741,40.745434,-84.120249
39,3,13000,3993,40.747731,-84.134884
39,3,13100,2313,40.738545,-84.142063
39,3,13200,1774,40.736095,-84.131025
39,3,13300,1290,40.736597,-84.11952
39,3,13400,2549,40.729451,-84.109708
39,3,13600,1375,40.727815,-84.09476
39,3,13700,1156,40.720974,-84.090608
39,3,13800,2728,40.713898,-84.099035
39,3,13900,3406,40.81966,-84.317376
39,3,14000,3309,40.843772,-84.309678
39,3,14100,2151,40.742959,-84.105167
39,5,970100,8353,40.965324,-82.200818
39,5,970200,5845,40.977792,-82.342343
39,5,970300,3895,40.877308,-82.338836
39,5,970400,3837,40.880742,-82.305382
39,5,970500,3083,40.864395,-82.311782
39,5,970600,5371,40.859523,-82.339319
39,5,970700,5288,40.8408,-82.330208
39,5,970800,4071,40.858021,-82.289027
39,5,970900,4943,40.778329,-82.191859
39,5,971000,4779,40.730624,-82.306151
39,5,971100,3674,40.628962,-82.242942
39,7,101,4554,41.940619,-80.563777
39,7,102,3483,41.955685,-80.559736
39,7,103,3721,41.943121,-80.56547
39,7,200,4688,41.912003,-80.662745
39,7,300,2214,41.878668,-80.736565
39,7,400,1794,41.892974,-80.787714
39,7,500,4265,41.870048,-80.773589
39,7,601,2746,41.890656,-80.803851
39,7,602,3428,41.889792,-80.817146
39,7,603,4101,41.874961,-80.842953
39,7,701,3292,41.867018,-80.79834
39,7,702,2971,41.823032,-80.856552
39,7,703,3873,41.855051,-80.800257
39,7,704,4041,41.852782,-80.782597
39,7,801,1736,41.85324,-80.938973
39,7,802,5187,41.802602,-80.934779
39,7,900,4780,41.803391,-80.962478
39,7,1001,5564,41.651605,-80.889308
39,7,1002,3465,41.747817,-80.906825
39,7,1101,1973,41.671523,-80.76251
39,7,1102,6060,41.747446,-80.774307
39,7,1200,7482,41.817507,-80.619759
39,7,1301,3927,41.562572,-80.592793
39,7,1302,3896,41.64893,-80.605506
39,7,1400,8256,41.547274,-80.876623
39,7,990000,0,42.101547,-80.770435
39,9,972600,4483,39.495149,-82.08584
39,9,972700,3981,39.456784,-82.201245
39,9,972800,4500,39.438667,-82.233542
39,9,972900,5391,39.360012,-82.131812
39,9,973000,3614,39.337117,-82.095971
39,9,973101,4527,39.32826,-82.106154
39,9,973200,4830,39.311933,-82.145626
39,9,973300,3721,39.30181,-82.084451
39,9,973400,3347,39.374868,-82.095219
39,9,973500,3428,39.385797,-81.973329
39,9,973600,3972,39.232325,-81.810979
39,9,973700,4140,39.242086,-82.053246
39,9,973800,4867,39.267998,-82.21651
39,9,973901,6462,39.324943,-82.095106
39,9,973902,3494,39.33085,-82.096169
39,11,40100,4025,40.598396,-84.006246
39,11,40200,4142,40.633892,-84.154425
39,11,40300,3645,40.567831,-84.18529
39,11,40400,6712,40.573524,-84.20397
39,11,40500,5021,40.602843,-84.328498
39,11,40600,3851,40.532465,-84.379645
39,11,40900,3748,40.439368,-84.380489
39,11,41000,3649,40.396308,-84.381818
39,11,41100,3992,40.513333,-84.206206
39,11,41201,1893,40.534708,-84.427763
39,11,41202,5271,40.544184,-84.399632
39,13,10100,4264,40.101226,-80.751965
39,13,10200,3905,40.07064,-80.778818
39,13,10300,3425,40.124327,-80.831906
39,13,10600,3712,40.138756,-81.031512
39,13,10700,2695,40.075759,-81.064725
39,13,10802,2323,40.021686,-81.061169
39,13,10900,6798,39.989425,-81.157662
39,13,11000,5009,39.88852,-80.956031
39,13,11200,3491,39.964199,-80.874064
39,13,11300,4019,39.970832,-80.752775
39,13,11400,4499,40.018199,-80.786674
39,13,11500,1640,40.010071,-80.75279
39,13,11600,1250,40.018196,-80.746395
39,13,11700,1406,40.027023,-80.741467
39,13,11900,3071,40.091869,-80.733804
39,13,12000,2643,40.105764,-80.721176
39,13,12100,1277,40.097261,-80.723895
39,13,12200,6288,40.064496,-80.950835
39,13,12300,4104,40.082219,-80.907824
39,13,12400,4581,40.07533,-80.881619
39,15,951201,4427,39.194121,-83.946065
39,15,951202,5041,39.087018,-83.95072
39,15,951300,7777,39.019941,-83.949226
39,15,951400,4393,38.965346,-83.840161
39,15,951500,5423,38.91649,-83.759899
39,15,951600,3699,38.705837,-83.757454
39,15,951700,2673,38.749899,-83.840863
39,15,951800,5270,38.857902,-83.900788
39,15,951900,6143,38.891355,-83.989312
39,17,100,4639,39.358776,-84.552969
39,17,200,4226,39.370073,-84.556592
39,17,300,3349,39.388548,-84.56336
39,17,400,4944,39.387379,-84.552665
39,17,500,4575,39.385086,-84.540858
39,17,600,5017,39.401791,-84.54649
39,17,1001,5464,39.427719,-84.567414
39,17,1002,5087,39.423433,-84.583273
39,17,1100,4550,39.406643,-84.579084
39,17,1300,4256,39.400117,-84.59532
39,17,10101,6819,39.510218,-84.742518
39,17,10102,2749,39.516398,-84.7596
39,17,10103,5308,39.497755,-84.748221
